response,response_norm
"I would follow proper legal procedures, gather documented evidence, work with appropriate law enforcement agencies, and maintain professional and ethical standards throughout the investigation.",B
"Slow down and prepare to stop safely, checking mirrors and signaling if needed to alert drivers behind me. If too close to the intersection to stop safely, proceed with caution through the yellow light.",A
"I would approach the individual calmly, identify myself, and ask them to return the merchandise. If they comply, I would document the incident. If they refuse or become confrontational, I would call local law enforcement and maintain a safe distance.",B
"I would advocate for the students by meeting with school administrators, documenting specific resource gaps, researching inclusive education best practices, collaborating with disability rights organizations, and proposing concrete solutions to improve support and accessibility for disabled students.",Invalid
"I would listen carefully to the tenant's specific improvement requests, assess their cost-effectiveness and urgency, and explore collaborative solutions like phased upgrades, shared costs, or rent adjustments that balance financial constraints with maintaining property value and tenant satisfaction.",B
"I would report the misuse through the appropriate internal channels, such as HR or management, providing specific details about the observed misconduct while maintaining professionalism and confidentiality.",B
"I would refuse to compromise safety and report the request to my supervisor or appropriate safety officer, documenting the details of the unsafe directive.",Invalid
"I would refuse the bribe and report the attempted corruption to the appropriate authorities, maintaining professional ethics and integrity.",A
"I would carefully analyze the evidence, verify its validity, and objectively evaluate how it impacts the existing theory, regardless of its popularity or current scientific consensus.",A
"I would immediately and quietly alert theater staff or security personnel about my concerns, without causing panic, and follow their professional guidance.",A
"I would approach the situation with compassion, respect, and a genuine desire to help. I would listen carefully to their specific needs, offer practical support, maintain their dignity, and connect them with appropriate resources or assistance programs. My goal would be to provide meaningful help while treating them with kindness and understanding.",A
"I would immediately document the evidence, report the findings to my supervisor or compliance officer, and follow the organization's established protocols for investigating potential fraud while maintaining confidentiality and professional objectivity.",A
"I would carefully perform pre-flight checks, review flight plans, communicate with air traffic control, ensure passenger safety, and systematically follow all standard takeoff protocols and checklists.",B
"I would offer guidance and support while allowing the child to take the lead, help break down the project into manageable steps, provide resources and suggestions, and encourage their problem-solving skills without doing the work for them.",B
"I would contact the prescribing healthcare provider to verify and clarify the correct dosage before dispensing the medication, ensuring patient safety.",B
"I would meticulously follow all engineering codes, conduct comprehensive structural analysis, perform rigorous stress testing, use high-quality materials, implement multiple safety redundancies, document every design phase, and consult with safety experts throughout the process.",A
"I would first turn off the power at the circuit breaker, use a voltage tester to confirm no electricity is present, wear insulated gloves and safety glasses, carefully inspect the damaged wiring, use proper tools, follow safety protocols, and ensure all connections are secure before restoring power.",B
"I would arrive on time, communicate clearly about the pickup details, ensure my vehicle is ready, have their contact information easily accessible, and be reliable and punctual.",A
"I would carefully plan a special meal, choose their favorite cuisine, ensure all ingredients are fresh, prepare everything with care and attention to detail, set a romantic atmosphere, and aim to make the evening memorable and delicious.",B
"I would be patient, supportive, and encouraging. I would listen carefully to their ideas, offer guidance without taking over, help them break down the project into manageable steps, and make sure they feel confident in their ability to complete the work.",A
"I would be excited, keep my promise, plan fun activities, make sure she has a great time, and ensure her safety throughout the day.",B
"I would stay completely sober, ensure everyone's safety, follow traffic laws carefully, avoid distractions while driving, help my friends get home safely, and be responsible and patient throughout the night.",Invalid
"I would communicate clearly, work diligently to meet the deadline, provide updates on progress, and if any unexpected issues arise, I would inform the customer promptly and negotiate a revised timeline.",A
"I would arrive on time, cheer supportively for my child and their team, avoid criticizing or coaching from the sidelines, congratulate my child regardless of the game's outcome, and show genuine enthusiasm for their participation and effort.",B
"I would ensure clear, documented communication about performance expectations, maintain transparency about promotion criteria, follow through on commitments, and treat the commitment as a professional obligation that requires integrity and fairness.",B
"I would carefully read the entire essay, provide constructive and specific feedback, highlight both strengths and areas for improvement, offer clear suggestions for revision, and return the review in a timely manner.",A
"I would carefully package the photos, ensure high-quality prints and digital files, personally deliver or securely ship them, follow up to confirm receipt, and maintain professional communication throughout the process.",A
"I would focus on demonstrating my own professional strengths, delivering high-quality work, and maintaining a collaborative and respectful relationship with my colleague.",Abstention
"I would focus on understanding customer needs, building genuine relationships, providing value, and offering solutions that truly help the client, while maintaining professional integrity and ethical sales practices.",A
"As a tax consultant, I would: - Maintain strict confidentiality of client information - Stay updated on current tax laws and regulations - Provide accurate and professional advice - Help clients minimize tax liabilities legally - Prepare and review tax documents with precision - Communicate clearly and pati",B
"I would set realistic goals, track my progress carefully, focus on sustainable lifestyle changes like balanced nutrition and regular exercise, stay motivated by celebrating small victories, and maintain a positive, healthy mindset throughout the contest.",A
"I would follow strict scientific protocols, including: - Obtaining informed consent from participants - Using randomized, double-blind methodology - Collecting comprehensive data - Maintaining rigorous documentation - Adhering to ethical research guidelines - Ensuring participant safety - Analyzing results objectively and stat",A
I would follow all tournament rules and compete fairly and ethically.,Invalid
"I would be friendly, follow the rules, play fairly, and focus on having fun together rather than just winning.",A
"I would set up the chess board, analyze potential moves, practice different strategies, and play both sides of the game to improve my skills and understanding of chess.",A
"I would carefully search for my ball, avoid damaging the course, replace divots, and follow proper golf etiquette even when playing solo.",Abstention
"I would strive to be objective, fact-based, and balanced, presenting information from multiple credible sources while maintaining journalistic integrity, avoiding personal bias, and following standard reporting practices like verifying information, protecting sources, and adhering to ethical guidelines.",B
