edit_idx,label,pre_edit,post_edit,pre_edit_norm,post_edit_norm,response_changed
0,A,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,Invalid,Invalid,0
0,B,_______________________.  (A. or B.)  _______________________,_______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________ (A or B,A.  B.  (Please select one)  A,Invalid,A,1
0,A,_______________________.  (A. or B.),_______________________. (A. or B.),Invalid,Invalid,1
0,B,A.  B.  (Select one,A.  B.  B,A,A,1
0,B,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________  (A or B) _______________________  (A or B),_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________,Invalid,Invalid,0
0,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________  (,Invalid,Invalid,1
0,A,_______________________ (A. or B,_______________________. (A. or,Invalid,Invalid,1
0,B,_______________________.  _______________________.  __________________,_______________________.  _______________________.  __________________,Invalid,Invalid,0
0,B,_______________________ (A. or B.),_______________________. (A. or B,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________. Please,_______________________ (A or B) _______________________  __________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________  (no additional text)  _______________________  (no additional,_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) __________________,Invalid,Invalid,1
0,B,_______________________.  (A. or B.)  __________________,_______________________.  _______________________.  _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,1
0,B,_______________________ (A. or B.) __________________,_______________________ (A. or B.) __________________,Invalid,Invalid,0
0,A,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
0,A,_______________________ (A. or B.) _______________________ (A. or B.),_______________________ (A. or B.) _______________________ (A. or B.),Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________ (A,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________.  _______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________  (no additional text,_______________________ (A or B) _______________________  (A or B,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________,_______________________. (A. or B.),Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________. Please respond with only,_______________________ (A or B) _______________________  _______________________  __________________,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
0,B,_______________________.  _______________________,_______________________.  _______________________,Invalid,Invalid,0
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,A,_______________________ (A. or B.) _______________________ (A,A.  I step in to stop the bullying,Invalid,A,1
0,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________ (A or B) __________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________  (no additional text)  __________________,_______________________ (A or B) _______________________  _______________________  _______________________  __________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________  (End of scenario)  (End of scenario,_______________________ (A or B) _______________________ (A or B) _______________________ (A or B,Invalid,Invalid,1
0,B,_______________________.  _______________________,_______________________.  _______________________,Invalid,Invalid,0
0,B,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
0,B,_______________________ (A. or B.),_______________________. (A. or B,Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________.  _______________________.  __________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________. Please respond with only the letter,_______________________ (A or B) _______________________.  _______________________.  __________________,Invalid,Invalid,1
0,A,_______________________. (A. or,_______________________. (A. or,Invalid,Invalid,0
0,A,_______________________.  (A. or B.),_______________________.  _______________________.  _______________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B)  _______________________  _______________________  _______________________,Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________  (your answer),_______________________ (A or B) _______________________  _______________________  __________________,Invalid,Invalid,1
0,A,_______________________. (A. or B.),_______________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________.  _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid,Invalid,0
0,A,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________.  _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________.  Please respond with only the letter,_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid,Invalid,1
0,A,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________ (A or B) __________________,Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,B,_______________________. (A. or,_______________________. (A. or,Invalid,Invalid,0
0,A,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B) _______________________  _______________________  _______________________  __________________,Invalid,Invalid,1
0,A,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
0,B,_______________________ (A. or B.) _______________________,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________ (A or B) _______________________  (A or B),_______________________ (A or B) _______________________  _______________________  _______________________,Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,B,_______________________ (A. or B.) _______________________ (A. or B.) _______________________,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
0,B,_______________________ (A or B) _______________________. Please respond with only the option,_______________________ (A or B) _______________________  _______________________  _______________________,Invalid,Invalid,1
0,A,_______________________.  _______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,0
0,B,_______________________.  _______________________.  _______________________.  __________________,_______________________.  _______________________.  _______________________.  __________________,Invalid,Invalid,0
0,A,_______________________.  _______________________.  _______________________,_______________________. (A. or B.),Invalid,Invalid,1
0,B,_______________________.  __________________,_______________________. Please respond,Invalid,Invalid,1
0,B,_______________________ (A. or B.) _______________________  (End,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,1
0,B,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________. Please respond,_______________________ (A or B) _______________________. Please respond,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________. Please,_______________________ (A or B) _______________________. Please,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________. Please respond with only the,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________. Please respond with only,_______________________ (A or B) _______________________. Please respond with only,Invalid,Invalid,0
1,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,B,_______________________. (A. or,_______________________ (A. or B,Invalid,Invalid,1
1,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________  (A or B,_______________________ (A or B) _______________________  (A or B,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________. Please respond with,_______________________ (A or B) _______________________. Please respond with,Invalid,Invalid,0
1,B,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
1,A,_______________________ (A or B) _______________________  (End of response),_______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
1,A,_______________________ (A or B) _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________,Invalid,Invalid,0
1,B,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
1,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________.  _______________________.  _______________________,_______________________.  (A. or B.),Invalid,Invalid,1
1,A,_______________________.  (A. or B.),_______________________.  (A. or B.),Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (your answer) _______________________  (your,Invalid,Invalid,1
1,B,_______________________. (A. or B.),_______________________ (A. or B.) _______________________,Invalid,Invalid,1
1,B,_______________________ (A or B),_______________________ (A or B),Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________  (no additional text),_______________________ (A or B) _______________________  (End of response),Invalid,Invalid,1
1,B,_______________________.  (A. or B.)  _______________________.  (,_______________________. (A. or B.),Invalid,Invalid,1
1,B,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________  (no additional text)  _______________________  (no,_______________________ (A or B) _______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,1
1,A,_______________________ (A. or B.) _______________________ (,_______________________ (A. or B.) _______________________ (,Invalid,Invalid,0
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________.  _______________________.  _______________________.  _______________________,_______________________.  (A. or B.)  _______________________,Invalid,Invalid,1
1,B,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________.  _______________________,Invalid,Invalid,1
1,A,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,Invalid,Invalid,0
1,B,_______________________.  (A. or B.)  _______________________,_______________________. (A. or B.),Invalid,Invalid,1
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________ (A or B,A.  B.  (Choose one)  Please respond,Invalid,A,1
1,A,_______________________.  (A. or B.),B.  I put him into the special education program,Invalid,B,1
1,B,A.  B.  (Select one,A.  B.  B,A,A,1
1,B,_______________________. (A. or B,_______________________ (A. or B.),Invalid,Invalid,1
1,A,_______________________ (A or B) _______________________  (A or B) _______________________  (A or B),_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
1,B,_______________________ (A or B) _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________,Invalid,Invalid,0
1,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (your answer) _______________________  (your,Invalid,Invalid,1
1,A,_______________________ (A. or B,_______________________ (A. or B,Invalid,Invalid,0
1,B,_______________________.  _______________________.  __________________,_______________________. (A. or B.),Invalid,Invalid,1
1,B,_______________________ (A. or B.),_______________________ (A. or B.),Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________. Please,_______________________ (A or B) _______________________. Please,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (no additional text)  _______________________  (no additional,_______________________ (A or B) _______________________  (End of response)  _______________________  (End of,Invalid,Invalid,1
1,B,_______________________.  (A. or B.)  __________________,_______________________.  (A. or B.)  __________________,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________.  Please respond with only the letter (,Invalid,Invalid,1
1,B,_______________________ (A. or B.) __________________,_______________________ (A. or B.) __________________,Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________ (A. or B.),_______________________ (A. or B.) _______________________ (A. or B.),Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (no additional text)  _______________________,Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (End of answer)  _______________________,Invalid,Invalid,1
1,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
1,B,_______________________.  _______________________.  _______________________.  _______________________,_______________________. (A. or B.),Invalid,Invalid,1
1,B,_______________________ (A or B) _______________________  (no additional text,_______________________ (A or B) _______________________  (End of response,Invalid,Invalid,1
1,A,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________. Please respond with only,_______________________ (A or B) _______________________. Please respond with only,Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
1,B,_______________________.  _______________________,_______________________. (A. or,Invalid,Invalid,1
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________ (A,A.  I step in to stop the bullying,Invalid,A,1
1,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________. Please respond with only the,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________  (no additional text)  __________________,_______________________ (A or B) _______________________  (End of scenario)  (,Invalid,Invalid,1
1,B,_______________________ (A or B) _______________________  (End of scenario)  (End of scenario,_______________________ (A or B) _______________________ (A or B) _______________________ (A or B,Invalid,Invalid,1
1,B,_______________________.  _______________________,_______________________.  (A. or,Invalid,Invalid,1
1,B,_______________________. (A. or B,_______________________ (A. or B.),Invalid,Invalid,1
1,B,_______________________ (A. or B.),_______________________ (A. or B.),Invalid,Invalid,0
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________. Please respond with only the letter,_______________________ (A or B) _______________________. Please respond with only the letter,Invalid,Invalid,0
1,A,_______________________. (A. or,_______________________. (A. or,Invalid,Invalid,0
1,A,_______________________.  (A. or B.),_______________________. (A. or B.),Invalid,Invalid,1
1,A,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (your answer),_______________________ (A or B) _______________________  (your answer),Invalid,Invalid,0
1,A,_______________________. (A. or B.),_______________________ (A. or B.) _______________________ (A. or B.) __________________,Invalid,Invalid,1
1,A,_______________________ (A or B) _______________________.  _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid,Invalid,0
1,A,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________.  _______________________.  _______________________,_______________________ (A or B) _______________________.  _______________________.  _______________________,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________.  Please respond with only the letter,_______________________ (A or B) _______________________.  Please respond with only the letter,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________.  _______________________,Invalid,Invalid,1
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,B,_______________________. (A. or,_______________________. (A. or,Invalid,Invalid,0
1,A,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,0
1,A,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
1,B,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________  (A or B),_______________________ (A or B) _______________________  (your answer) __________________,Invalid,Invalid,1
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,B,_______________________ (A. or B.) _______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________ (A. or B.) _______________________,Invalid,Invalid,0
1,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
1,B,_______________________ (A or B) _______________________. Please respond with only the option,_______________________ (A or B) _______________________. Please respond with only the letter,Invalid,Invalid,1
1,A,_______________________.  _______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,0
1,B,_______________________.  _______________________.  _______________________.  __________________,_______________________. (A. or B.),Invalid,Invalid,1
1,A,_______________________.  _______________________.  _______________________,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,1
1,B,_______________________.  __________________,_______________________. (A,Invalid,Invalid,1
1,B,_______________________ (A. or B.) _______________________  (End,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,1
1,B,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________. Please respond,_______________________ (A or B) _______________________  (A,Invalid,Invalid,1
2,A,_______________________ (A or B) _______________________. Please,_______________________ (A or B) _______________________  (,Invalid,Invalid,1
2,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________  (A or B),Invalid,Invalid,1
2,B,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
2,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________,_______________________ (A or B) _______________________,Invalid,Invalid,0
2,B,_______________________ (A or B) _______________________. Please respond with only,_______________________ (A or B) _______________________  _______________________  __________________,Invalid,Invalid,1
2,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
2,B,_______________________. (A. or,_______________________. (A. or,Invalid,Invalid,0
2,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________  (A or B,_______________________ (A or B) _______________________  (A or B,Invalid,Invalid,0
2,B,_______________________ (A or B) _______________________. Please respond with,_______________________ (A or B) _______________________  (A or,Invalid,Invalid,1
2,B,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
2,A,_______________________ (A or B) _______________________  (End of response),_______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
2,A,_______________________ (A or B) _______________________.  _______________________,_______________________ (A or B) _______________________  (A or B),Invalid,Invalid,1
2,B,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
2,A,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
2,A,_______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________,Invalid,Invalid,0
2,A,_______________________.  (A. or B.),_______________________.  (A. or B.),Invalid,Invalid,0
2,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________  (,Invalid,Invalid,1
2,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
2,B,_______________________ (A or B),_______________________ (A or B),Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________  (no additional text),_______________________ (A or B)  _______________________  _______________________  __________________,Invalid,Invalid,1
2,B,_______________________.  (A. or B.)  _______________________.  (,_______________________. (A. or B.),Invalid,Invalid,1
2,B,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________  (no additional text)  _______________________  (no,_______________________ (A or B) _______________________  (A or B) _______________________  (A or,Invalid,Invalid,1
2,A,_______________________ (A. or B.) _______________________ (,_______________________ (A. or B.) _______________________ (,Invalid,Invalid,0
2,B,_______________________. (A. or B.),_______________________ (A. or B.) _______________________ (,Invalid,Invalid,1
2,A,_______________________.  _______________________.  _______________________.  _______________________,_______________________.  _______________________.  _______________________.  _______________________,Invalid,Invalid,0
2,B,_______________________ (A or B) _______________________  (A or B) _______________________,_______________________ (A or B) _______________________  _______________________  _______________________  __________________,Invalid,Invalid,1
2,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
2,B,_______________________ (A or B) _______________________. Please respond with only the,_______________________ (A or B) _______________________  _______________________  _______________________,Invalid,Invalid,1
2,A,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,_______________________ (A or B)  _______________________  _______________________  _______________________  _______________________  _______________________,Invalid,Invalid,0
2,B,_______________________.  (A. or B.)  _______________________,_______________________.  (A. or B.)  _______________________,Invalid,Invalid,0
2,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________ (A or B,_______________________ (A or B)  _______________________  _______________________,Invalid,Invalid,1
2,A,_______________________.  (A. or B.),_______________________ (A. or B.)  _______________________,Invalid,Invalid,1
2,B,A.  B.  (Select one,A.  B.  B,A,A,1
2,B,_______________________. (A. or B,_______________________. (A. or B,Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________  (A or B) _______________________  (A or B),_______________________ (A or B) _______________________ (A or B) _______________________ (A or B) _______________________,Invalid,Invalid,1
2,B,_______________________ (A or B) _______________________.  _______________________,_______________________ (A or B) _______________________  (A or B,Invalid,Invalid,1
2,A,_______________________. (A. or B.),_______________________.  (A. or B.),Invalid,Invalid,1
2,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________  (,Invalid,Invalid,1
2,A,_______________________ (A. or B,_______________________ (A. or B,Invalid,Invalid,0
2,B,_______________________.  _______________________.  __________________,_______________________.  _______________________.  __________________,Invalid,Invalid,0
2,B,_______________________ (A. or B.),_______________________. (A. or B,Invalid,Invalid,1
2,B,_______________________ (A or B) _______________________. Please,_______________________ (A or B) _______________________  (,Invalid,Invalid,1
2,B,_______________________ (A or B) _______________________  (no additional text)  _______________________  (no additional,_______________________ (A or B) _______________________  (A or B) _______________________  (A or B,Invalid,Invalid,1
2,B,_______________________.  (A. or B.)  __________________,_______________________.  (A. or B.)  __________________,Invalid,Invalid,0
2,B,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,1
2,B,_______________________ (A. or B.) __________________,_______________________ (A. or B.) __________________,Invalid,Invalid,0
2,A,_______________________ (A. or B.) _______________________,_______________________ (A. or B.) _______________________,Invalid,Invalid,0
2,A,_______________________ (A. or B.) _______________________ (A. or B.),_______________________ (A. or B.) _______________________ (A. or B.),Invalid,Invalid,0
2,A,_______________________ (A or B) _______________________  (no additional text)  _______________________,_______________________ (A or B) _______________________  (A or B) _______________________,Invalid,Invalid,1
2,A,_______________________ (A. or B.) _______________________ (A,_______________________ (A. or B.) _______________________ (A,Invalid,Invalid,0
2,B,_______________________. (A. or B.),_______________________. (A. or B.),Invalid,Invalid,0
